Judul,Penerbit,Tahun Terbit,Tempat Terbit,Pengarang,Tipe Koleksi
teknik otomotif,pustaka grafika,2001,bandung,suratman maman,mesin
teknik pelihara mobil periksa dan baik,pt . rineka cipta,2012,jakarta,dwiloka bambangriana rati,mesin
teknik cor logam,yrama widya,2014,bandung,daryanto,mesin
teknik reparasi sepeda motor,bumi aksara,2006,jakarta,daryanto,mesin
teknik reparasi vespa,bumi aksara,2016,jakarta,daryantosunawar aris,mesin
teknik sepeda motor,bumi aksara,2016,jakarta,f suryatmo,mesin
teknisi otodidak sepeda motor ajar teknik dan awat kendara ringan mesin tak,graha ilmu,2012,yogyakarta,panji tri,mesin
teknologi bahan,erlangga,1996,jakarta,lind douglas a mason robert d,mesin
teknologi chassis kendara modern,graha ilmu,2013,yogyakarta,negara i made yulistya,mesin
teknologi mekanik,deepublish,2015,yogyakarta,h m wijaya,mesin
teknologi motor diesel,andi,2019,jakarta,nurhadi,mesin
teknologi otomotif edisi dua,buku kedokteran,2010,jakarta,siregor charles j p,mesin
teknologi otomotif teori dan aplikasi,graha ilmu,2007,yogyakarta,riadi lieke,mesin
teknologi cor logam,erlangga,2006,jakarta,sadiman,mesin
teknologi kelas logam,graha ilmu,2019,jakarta,ratna ika putri,mesin
teknologi sensor otomotif,guna darma,2001,surabaya,sutantra i nyoman,mesin
teori dan reparasi mesin diesel,graha ilmu,2015,yogyakarta,purwanto eko budi,mesin
teori dan reparasi sistem bahan bakar bensin mobil,andi,2013,yogyakarta,kadir abdul,mesin
teori dan reparasi sistem pindah tenaga,informatika,2013,bandung,r h sianipar,mesin
teori dan reparasi sistem isi dan starter mobil,andi,2012,jakarta,sianiparutama satriawiryajati,mesin
teori dan teknik reparasi rem mobil,uip,1989,jakarta,kanig joseph llachman leonlieberman herbert,mesin
teori mekanika dan analisis kuat bahan,gava media,2020,jakarta,wuyung setyono,mesin
termodinamika teknik,prenadamedia group,2016,jakarta,mulyati,mesin
paket snack box coffee break harga ribu usaha rumah mudah murah lengkap hitung harga ju,pt . gramedia pustaka utama,2017,jakarta,erwin kuditawati,perhotelan
analisis food product studi food cost dan pedoman train,politeknik harapan bersama,2021,tegal,apt rizki febriyanti m farmwilda amananti s pd m sitarpiah,perhotelan
dasar food product pandu untuk uji kompetensi,nuha medika,2017,jakarta,ayu putri ariani,perhotelan
dasar kantor depan hotel,nuha medika,2017,jakarta,hermayudi,perhotelan
food beverage service operational job prepar,politeknik harapan bersama tegal,2017,tegal,rizal nur ependi s kommaylana boni abdillah mttarom,perhotelan
food product management di hotel dan restoran,mcgraw hill,2010,new york,kapoor jack r dlabay ley r hughes robert j,perhotelan
front office praktis administrasi dan prosedur kerja,politeknik harapan bersama tegal,2019,tegal,ginanjar wiro sasmito m komwibowo novianto ariefm fikri hidayatullah m kom,perhotelan
hotel communication manag,penebar plus,2011,jakarta,wong m ferryrusdiansari erina,perhotelan
housekeeping passport manajemen operasional housekeeping dasar,egc,2011,jakarta,kusmohartono juliarti dwi,perhotelan
jajan jakarta seri masak femina primarasa hidang nusantara popul,politeknik harapan bersama tegal,2019,tegal,dega surono wibowo st m komkurniasari murni,perhotelan
jajan medan seri masak femina primarasa hidang nusantara popul,informatika,2006,bandung,shalahuddin mrosa,perhotelan
jamu santai seru seri masak femina primarasa dapur modern,politeknik harapan bersama tegal,2018,tegal,lestari danny bungawahyuni dinaalfina fitria tahtawaliden muhammad birulzumzumi anissa marsa,perhotelan
manajemen steward,in media,2019,jakarta,embun prowanta,perhotelan
manajemen stewarding pariwisata dan hotel,politeknik harapan bersama tegal,2018,tegal,imam bukhari s kom m mariyo aan lediahanggraeni nur idaratnawati,perhotelan
metodologi teliti hospitaliti pariwisata,egc,2013,jakarta,williams dudley hfleming ian,perhotelan
pastry dalam hotel,alfabeta,2013,bandung,irianto kus,perhotelan
antar akomodasi dan restoran,politeknik harapan bersama tegal,2019,tegal,m khumaidi usman m engreza arfi faisal stmulyadi muhammad bambang,perhotelan
pesta kebun seri masak femina primarasa,politeknik harapan bersama tegal,2020,tegal,ratih sakti prastiwi s st mphns candra andodo m kep,perhotelan
saji bulan puasa seri masak femina primarasa,politeknik harapan bersama tegal,2018,tegal,endyana gita friskaningsih susi lestariwinarningrumfitriandini anggun cahyaoktavia rinarozani almirajanati baeti nuramrina atiana nur,perhotelan
tata hidang makan dan minum,b2p2to - ot,2015,karanganyar,widayanti elok,perhotelan
conference program asi academic accounting association th annual conference prosid,mcgraw hill,2013,new york,o'leary timothy j o'leary linda i,prosiding
isphe proceedings book prosid,politeknik harapan bersama tegal,2012,tegal,prasetyo wido,prosiding
proceeding book simposium dan workshop nasional kembang didik layan bidan indonesia kuat profesi bidan lalu optimalisasi sistem didik dan kembang layan bidan prosid,bumi aksara,2013,jakarta,terry george r,prosiding
proceeding book simposium dan workshop nasional kembang didik dan layan bidan indonesia bangun karakter dosen bidan demi capa lulus bidan profesional komunikatif dan akhlak prosid,suluh media,2018,jakarta,h r mulyanto,prosiding
proceeding book simposium dan workshop nasional kembang didik dan layan bidan indonesia kuat profesi bidan lalu optimalisasi sistem didik dan kembang layan kebidananan prosid,erlangga,2011,jakarta,hurst ken,prosiding
proceeding book the th asia pasific academic consortium for public health conference prosid,airlangga university press,1998,surabaya,siswandonosoekardjo bambang,prosiding
prosiding nd senit seminar nasional iptek terap sinergitas lembaga didik dan inovasi iptek terap dalam tingkat publikasi ilmiah untuk bangun jiwa technopreneur bas didik vokasi prosid,politeknik harapan bersama tegal,2018,tegal,ratih wulandari m mwijatmiko panjieko supriyanto st,prosiding
prosiding th iciba international conference on information technology and engineering application it engineering for a better life prosid,politeknik harapan bersama tegal,2020,tegal,heri budi susilo s komnaufal sandika,prosiding
prosiding pit temu ilmiah tahun bidan bagi i sub giat naskah teliti poster dan oral presentasi prosid,politeknik harapan bersama tegal,2017,tegal,miftakhul huda m komsari fatma finta,prosiding
prosiding pit temu ilmiah tahun bidan bagi ii papar narasumber bidang bijak didik dan organisasi prosid,politeknik harapan bersama tegal,2020,tegal,heri budi susilo s komnagar k sintia,prosiding
prosiding pit temu ilmiah tahun bidan bagi iii papar narasumber bidang layan prosid,politeknik harapan bersama tegal,2020,tegal,eko budihartono st m kompamuji ray hananda,prosiding
prosiding seminar nasional dan presentasi hasil teliti bidang sehat gera tingkat selamat ibu lahir dan bayi lahir dalam rangka bentuk generasi indonesia baru yang unggul prosid,politeknik harapan bersama tegal,2013,tegal,pratomo rian cahyo,prosiding
prosiding seminar nasional dan publikasi ilmiah bagi bidan dan awat kontroversi bijak layan sehat hadap wenang bidan mandiri prosid,politeknik harapan bersama tegal,2016,tegal,rakhmayani windy nursundari triatiqoh niswatulastuti ade yuni,prosiding
prosiding seminar nasional bidan dan call for paper tingkat kualitas layan bidan lalu dekat holistik prosid,politeknik harapan bersama tegal,2017,tegal,politeknik harapan bersama,prosiding
prosiding seminar nasional teknik elektro senter inovasi bangun negeri prosid,universitas bina darma,2015,palembang,universitas bina darma,prosiding
prosiding seminar nasional teknik elektro senter bangun generasi yang inovasi dalam ilmu tahu dan teknologi di era digital prosid,ibi publishing,2014,jakarta,ikatan bidan indonesia,prosiding
seminar nasional aplikasi sains dan teknologi snast bangun daya saing bangsa dengan mandiri sains dan teknologi prosid,elex media komputindo,2007,jakarta,enterprise jubilee,prosiding
seminar nasional mesin dan industri snmi xi universitas tarumanagara riset multidisiplin untuk junjung kembang industri nasional prosid,rapha publishing,2017,yogyakarta,yulianingsih nengsih,prosiding
seminar nasional teknik elektro snte tingkat produktifitas dan daya saing bangsa lalu sistem otomasi yang andal dan efisien songsong mea prosid,politeknik harapan bersama tegal,2018,tegal,ginanjar wiro sasmito m kommudhofar afi makarim,prosiding
seminar nasional teknik industri senti universitas gadjah mada frontier in industrial engineering prosid,politeknik harapan bersama tegal,2018,tegal,ginanjar wiro sasmito m kompamungkas firman,prosiding
seminar nasional vokasi dan teknologi semnasvoktek universitas didik ganesha inovasi pada bidang vokasional dan teknologi dalam bangun sdm yang kompeten dan kompetitif prosid,politeknik harapan bersama tegal,2018,tegal,ginanjar wiro sasmito m komapriyadi dwi aji,prosiding
analisis akuntansi sedia barang dagang produk sikat gigi prodental dan premier pada cv jaya sama,politeknik harapan bersama tegal,2016,tegal,soraya dina ayu,referensi
analisis strategi pasar guna metode strenghts weaknesses opportunities threats swot pada pt surya electra breb,politeknik harapan bersama tegal,2018,tegal,raphelino bayu prayitno,referensi
aplikasi gadai barang bas web ta,politeknik harapan bersama tegal,2018,tegal,m teguh prihandoyo m komali sofyan st m komdimas azhar novyantomuhammad toni lukmana,referensi
aplikasi virtual reality bagai media kenal anatomi tubuh manusia bas mobil,politeknik harapan bersama tegal,2021,tegal,m nishom m komsafitri tia sulistianadwi intan af'idah m kom,referensi
hukum buruh undang undang dan atur,prenadamedia group,2018,jakarta,surini ahlan sjarif,referensi
kamus milyar,erlangga,2003,jakarta,purcell j edwinvarberg dalerigdon steven e,referensi
kamus besar bahasa indonesia,itb bandung,1986,bandung,zemansky mark wdittman richard h,referensi
kamus hukum,balai pustaka,2005,jakarta,tim penyusun kamus pusat bahasa,referensi
kamus indonesia inggri,pt . gramedia pustaka utama,1997,jakarta,wasito s,referensi
kamus lengkap milliard,pustaka gama,2015,indonesia,sari retno,referensi
kamus lengkap idiom inggris indonesia,pustaka baru press,2015,yogyakarta,riyanto tanoe,referensi
kamus umum bahasa indonesia,victory inti cipta,2016,jakarta,ardiyos,referensi
kaya diri dengan bagi dan investasi,politeknik harapan bersama tegal,2021,tegal,eko budihartono st m komlukmanul khakim s kom m tr t maelani pratami,referensi
kreasi cetak sablon manual discharge pada produk ready to wear ta,politeknik harapan bersama tegal,2014,tegal,wijaya yan parta,referensi
lapor uang desa,politeknik harapan bersama tegal,2016,tegal,islam asya fahmie,referensi
lapor triwulan triwulan i ojk,politeknik harapan bersama tegal,2021,tegal,rais s pd m komrivaldo mersis brillianto s pd m engmuhamad zaki baridwan,referensi
menang dengan tahan ajar dari perang khandaq seri trilogi menang,bumi aksara,2006,jakarta,sumoprastowo r m,referensi
olah lezat buah tropis seri masak femina primarasa,kanisius,1988,yogyakarta,widjajanti v nuraini,referensi
olah lezat tahu tempe seri masak femina primarasa,elex media komputindo,2005,jakarta,azis m farid,referensi
terap file sharing linux ubuntu dengan windows guna konfigurasi samba server di tri laptop ta,politeknik harapan bersama tegal,2016,tegal,alfiyah nofi,referensi
terap sistem pakar untuk diagnosis awal sakit hepatitis guna metode forward chaining dan certainty factor,politeknik harapan bersama tegal,2017,tegal,permadi sandi bagus,referensi
pengaruh disiplin dan semangat kerja hadap produktivitas kerja karyawan pada toko emas hidup banjaran ta,apress,2013,"sebastopol "" "" ca",laeli siti nur,referensi
rancang bangun sistem informasi bengkel motor bas website studi kasus bengkel slamet motor ta,politeknik harapan bersama tegal,2021,tegal,rais s pd m komsyamsul falah annurhepatika zidny ilmadina s pd m kom,referensi
rancang bangun sistem aman dan monitoring ruang laboratorium yang integrasi dengan web ta,politeknik harapan bersama tegal,2018,tegal,rahman nur fathurginanjar wiro sasmito m komm yoka fathoni m kom,referensi
sistem kontrol tirai ruang periksa di klinik medical tegal ta,politeknik harapan bersama tegal,2017,tegal,setyowati arinilatief faizalfaqih fataroziqin raafirais s pd m komirawan pudja hardjana st,referensi
undang nomor tahun tentang buka informasi publik,politeknik harapan bersama tegal,2021,tegal,amin nur akhmadi m tm wawan junaidi u m engpandu aji sasongko,referensi
varian makan jepang seri masak femina primarasa,politeknik harapan bersama tegal,2018,tegal,taufiq abidin s pd m komropii ahmad,referensi
buku undang ketenagakerjaan republik indonesia,egc,1997,jakarta,bates barbara,referensi
hukum dan undang kebun,politeknik harapan bersama tegal,2015,tegal,sakinah azmi nur meilani,referensi
kamus populer istilah kimia,andi,2019,yogyakarta,abdullah adnan,referensi
kamus populer istilah matematika,elex media komputindo,2014,jakarta,pudiastuti ratna dewipranadi paulus,referensi
hap kitab undang hukum acara pidana,kencana,2017,jakarta,winwin yadiati,referensi
pengaruh guna oli tmo dengan oli mesran super hadap konsumsi bahan bakar pada mobil toyota avanza vvt i tahun ta,politeknik harapan bersama tegal,2019,tegal,anggy rima putri m farm aptheru nurcahyo s farm m sc aptinayah rohmatun,textbook
alat ukur dan teknik ukur,gava media,2021,jakarta,choesen wawan darmawan,teknik
aljabar linier element,erlangga,1984,jakarta,anton howardsilaban pantur,teknik
aljabar matrik,graha ilmu,2018,jakarta,rini asnawati,teknik
aplikasi selulosa bagai filler pada komposit beton,teknosain,2017,jakarta,edwin azwar,teknik
autocad,informatika,2011,bandung,pinem mhd daud,teknik
ajar fisika guna logika,notebook,2015,yogyakarta,wibowo ibnu teguh,teknik
dr math jelas aljabar,fitramaya,2009,yogyakarta,muslikhatun wafi nurmufdlilahsetiyawati nanik,teknik
fisika dan teknologi semikonduktor,rapha publishing,2017,yogyakarta,g-media,teknik
fisika dasar,politeknik harapan bersama tegal,2017,tegal,anggun setya wibawa s farm aptrizki febriyanti m farm aptsusilowati laely,teknik
fisika dasar edisi jilid,pt . pradnya utama,1999,jakarta,rio s rekaiida masamori,teknik
fisika dasar listrik magnet optik fisika modern,andi,2004,yogyakarta,soedojo peter,teknik
fisika jilid edisi tiga,erlangga,2005,jakarta,halliday davidresnick robertwalker jearl,teknik
fisika modern,buku kedokteran,1996,jakarta,gabriel j f,teknik
formulasi matematika dan fisika,politeknik harapan bersama tegal,2017,tegal,akhmad aniq barlian s farmheru nur cahyo s farm aptaziz bakri abdul,teknik
gambar teknik,politeknik harapan bersama,2021,tegal,apt meliyana perwita sari m farmratih sakti prastiwi s st mphdevi ratnasari,teknik
inovasi desain dengan autocad,politeknik harapan bersama tegal,2016,tegal,amal m mahbub irsyadul,teknik
inspeksi teknik buku,politeknik harapan bersama tegal,2016,tegal,putri windi yulias,teknik
kalkulus dan geometri analisi,komunitas sastrawan tegalan,2000,tegal,setiawan lanang,teknik
kalkulus jilid,gaya favorit press,2012,jakarta,linda f dkk,teknik
kamus lengkap teknik,surabaya,2007,surabaya,anwar desi,teknik
logika matematika dan himpun,andi,2003,yogyakarta,sunartomuljono,teknik
matematika lanjut untuk ilmu fisika dan teknik,salemba empat,2019,jakarta,kalangi josep bintang,teknik
matematika teknik,salemba empat,2010,jakarta,frensidy budi,teknik
matematika teknik ed jilid,salemba empat,2018,jakarta,frensidy budi,teknik
matematika teknik jilid,andi,2018,jakarta,bambang murdaka eka jati,teknik
matematika bank soal dan trik cepat selesai,andi,2013,yogyakarta,sutarman e,teknik
guna alat ukur,politeknik harapan bersama tegal,2019,tegal,david bani adam sh mhpujiati eka,teknik
prinsip ancang teknik,salemba medika,2004,jakarta,malvino albert paul,teknik
rancang bangun dimensi dengan autocad,penebar swadaya,2001,jakarta,dalimartha setiawanwijayakusuma m hembing,teknik
teknologi tepat guna dunia alternatif,alfabeta,2013,bandung,afrianti leni herliani,teknik
trigonometri kupas konsep dasar dan ajar,universitas indonesia,2010,jakarta,kadir abdul,teknik
bacteriophage fage bagai biokontrol alami mikrobia pada pangan dan lingkung,politeknik harapan bersama tegal,2017,tegal,darmawan budi,teknik
bioproses limbah tani,graha ilmu,2007,yogyakarta,sumadimarianti aditya,teknik
hidrolog,tiga serangkai,2013,solo,alkastani rohmat nurhadi,teknik
ilmu dan teknologi biomateri,rineka cipta,2004,jakarta,prasetya joko tri,teknik
tega hukum lingkung,bumi aksara,2020,jakarta,mursidin,teknik
pintar buat kompos dari sampah rumah tangga dan limbah tani terna,andi,2010,yogyakarta,sakur stendy b,teknik
sanitasi dan sehat lingkung ukur dan lanjut,ikanas stan,2016,jakarta,alumni stan,teknik
